response,contrast,estimate,SE,df,t.ratio,p.value
no_of_nodes,n0 s0 - n150 s25,-1.0693916349809878,1.261227073911077,46,-0.8478977791562897,0.9999537698042849
no_of_nodes,n0 s0 - n200 s25,-1.7927756653992386,1.3099170280225505,46,-1.3686177269606237,0.9900191394042523
no_of_nodes,n0 s0 - n0 s35,-0.06939163498098933,1.261227073911077,46,-0.05501914478080876,1
no_of_nodes,n0 s0 - n100 s35,-0.48669201520912575,1.2606361045351357,46,-0.38606859938268645,0.9999999990590744
no_of_nodes,n0 s0 - n150 s35,-1.125475285171103,1.3116225265028647,46,-0.8580786487190946,0.9999462986301075
no_of_nodes,n0 s0 - n200 s35,0.12452471482889743,1.3116225265028647,46,0.09493944508631878,1
no_of_nodes,n100 s0 - n150 s0,1.7366920152091254,1.2606361045351355,46,1.3776315060003277,0.9893759176047551
no_of_nodes,n100 s0 - n200 s0,0.5,1.2521348937042451,46,0.39931799881467106,0.999999998468418
no_of_nodes,n100 s0 - n0 s15,1.430608365019011,1.261227073911077,46,1.1342988067824147,0.9985532333358165
no_of_nodes,n100 s0 - n100 s15,-0.09790874524715143,1.2809639509220139,46,-0.0764336460652765,1
no_of_nodes,n100 s0 - n150 s15,0.06939163498098816,1.261227073911077,46,0.055019144780807834,1
no_of_nodes,n100 s0 - n200 s15,0.25000000000000017,1.252134893704245,46,0.1996589994073357,1
no_of_nodes,n100 s0 - n0 s25,-0.7500000000000007,1.252134893704245,46,-0.5989769982220072,0.9999995311231245
no_of_nodes,n100 s0 - n100 s25,0.8193916349809888,1.261227073911077,46,0.6496781205624199,0.9999985812170289
no_of_nodes,n100 s0 - n150 s25,0.4866920152091258,1.2606361045351357,46,0.3860685993826865,0.9999999990590744
no_of_nodes,n100 s0 - n200 s25,-0.23669201520912514,1.2606361045351355,46,-0.1877560180591577,1
no_of_nodes,n100 s0 - n0 s35,1.4866920152091243,1.2606361045351355,46,1.1793189246767986,0.9977939207688657
no_of_nodes,n100 s0 - n100 s35,1.0693916349809878,1.2612270739110771,46,0.8478977791562896,0.9999537698042849
no_of_nodes,n100 s0 - n150 s35,0.4306083650190106,1.261227073911077,46,0.3414201724069323,0.9999999998420168
no_of_nodes,n100 s0 - n200 s35,1.680608365019011,1.261227073911077,46,1.3325184653762852,0.9922893461119556
no_of_nodes,n150 s0 - n200 s0,-1.2366920152091254,1.2606361045351355,46,-0.9810063433532712,0.9997248500215608
no_of_nodes,n150 s0 - n0 s15,-0.30608365019011463,1.2774688176660451,46,-0.23960166068815214,1
no_of_nodes,n150 s0 - n100 s15,-1.834600760456277,1.290430520177304,46,-1.4216966599675622,0.9857393747923517
no_of_nodes,n150 s0 - n150 s15,-1.6673003802281372,1.2618177665079344,46,-1.3213479984850516,0.9928999552826376
no_of_nodes,n150 s0 - n200 s15,-1.486692015209125,1.2606361045351355,46,-1.1793189246767992,0.9977939207688657
no_of_nodes,n150 s0 - n0 s25,-2.486692015209126,1.2606361045351355,46,-1.9725692499709133,0.8272891157812222
no_of_nodes,n150 s0 - n100 s25,-0.9173003802281366,1.2618177665079346,46,-0.7269673993945689,0.9999936368492554
no_of_nodes,n150 s0 - n150 s25,-1.2499999999999996,1.2521348937042447,46,-0.9982949970366776,0.9996617913462634
no_of_nodes,n150 s0 - n200 s25,-1.9733840304182504,1.2858025416582688,46,-1.5347488953266684,0.9718990780469702
no_of_nodes,n150 s0 - n0 s35,-0.25000000000000133,1.2521348937042447,46,-0.19965899940733664,1
no_of_nodes,n150 s0 - n100 s35,-0.6673003802281378,1.2618177665079346,46,-0.5288405330310758,0.9999999166427602
no_of_nodes,n150 s0 - n150 s35,-1.3060836501901147,1.277468817666045,46,-1.0223996328742877,0.9995529427724441
no_of_nodes,n150 s0 - n200 s35,-0.056083650190114354,1.2774688176660451,46,-0.04390216764161808,1
no_of_nodes,n200 s0 - n0 s15,0.9306083650190109,1.261227073911077,46,0.7378594895946736,0.9999922627849256
no_of_nodes,n200 s0 - n100 s15,-0.5979087452471515,1.2809639509220139,46,-0.4667646929617247,0.9999999856842772
no_of_nodes,n200 s0 - n150 s15,-0.4306083650190118,1.2612270739110767,46,-0.3414201724069333,0.9999999998420168
no_of_nodes,n200 s0 - n200 s15,-0.24999999999999978,1.2521348937042447,46,-0.19965899940733542,1
no_of_nodes,n200 s0 - n0 s25,-1.2500000000000007,1.252134893704245,46,-0.9982949970366783,0.9996617913462634
no_of_nodes,n200 s0 - n100 s25,0.31939163498098877,1.261227073911077,46,0.25323880337467886,0.999999999998172
no_of_nodes,n200 s0 - n150 s25,-0.013307984790874083,1.2606361045351357,46,-0.010556563264369977,1
no_of_nodes,n200 s0 - n200 s25,-0.7366920152091252,1.2606361045351355,46,-0.5843811807062144,0.9999996660762108
no_of_nodes,n200 s0 - n0 s35,0.9866920152091241,1.2606361045351355,46,0.7826937620297418,0.9999833270423322
no_of_nodes,n200 s0 - n100 s35,0.5693916349809879,1.261227073911077,46,0.4514584619685487,0.9999999910947392
no_of_nodes,n200 s0 - n150 s35,-0.06939163498098938,1.2612270739110767,46,-0.055019144780808805,1
no_of_nodes,n200 s0 - n200 s35,1.180608365019011,1.2612270739110767,46,0.9360791481885443,0.9998431262575721
no_of_nodes,n0 s15 - n100 s15,-1.5285171102661623,1.3172915740706428,46,-1.1603483544214883,0.9981471635135017
no_of_nodes,n0 s15 - n150 s15,-1.3612167300380227,1.2881186093562835,46,-1.0567479734791416,0.9993456688635474
no_of_nodes,n0 s15 - n200 s15,-1.1806083650190107,1.261227073911077,46,-0.936079148188544,0.9998431262575721
no_of_nodes,n0 s15 - n0 s25,-2.180608365019012,1.261227073911077,46,-1.728957782564027,0.9277736200078699
no_of_nodes,n0 s15 - n100 s25,-0.6112167300380219,1.2881186093562838,46,-0.4745034545719881,0.9999999819190044
no_of_nodes,n0 s15 - n150 s25,-0.9439163498098853,1.277468817666045,46,-0.7388958045445171,0.9999921190050391
no_of_nodes,n0 s15 - n200 s25,-1.6673003802281356,1.2618177665079342,46,-1.3213479984850505,0.9928999552826376
no_of_nodes,n0 s15 - n0 s35,0.05608365019011319,1.277468817666045,46,0.043902167641617175,1
no_of_nodes,n0 s15 - n100 s35,-0.361216730038023,1.2881186093562838,46,-0.28042194826960476,0.9999999999912526
no_of_nodes,n0 s15 - n150 s35,-1.0000000000000002,1.252134893704245,46,-0.7986359976293423,0.9999783884880162
no_of_nodes,n0 s15 - n200 s35,0.25000000000000017,1.2521348937042447,46,0.19965899940733572,1
no_of_nodes,n100 s15 - n150 s15,0.16730038022813964,1.2618177665079344,46,0.13258680030408942,1
no_of_nodes,n100 s15 - n200 s15,0.34790874524715165,1.2809639509220139,46,0.2715991695135007,0.9999999999945739
no_of_nodes,n100 s15 - n0 s25,-0.6520912547528491,1.2809639509220139,46,-0.509062924279396,0.9999999511763935
no_of_nodes,n100 s15 - n100 s25,0.9173003802281403,1.2618177665079344,46,0.726967399394572,0.9999936368492554
no_of_nodes,n100 s15 - n150 s25,0.5846007604562773,1.2904305201773043,46,0.4530276921658312,0.9999999906430292
no_of_nodes,n100 s15 - n200 s25,-0.1387832699619735,1.2881186093562835,46,-0.10774106433516102,1
no_of_nodes,n100 s15 - n0 s35,1.5846007604562755,1.2904305201773039,46,1.227962866407215,0.9966198308357105
no_of_nodes,n100 s15 - n100 s35,1.1673003802281388,1.2618177665079344,46,0.9250942657580647,0.9998640680935713
no_of_nodes,n100 s15 - n150 s35,0.5285171102661621,1.3172915740706428,46,0.4012149782701177,0.9999999983601177
no_of_nodes,n100 s15 - n200 s35,1.7785171102661628,1.3172915740706428,46,1.3501316984593312,0.9912406143582075
no_of_nodes,n150 s15 - n200 s15,0.180608365019012,1.2612270739110767,46,0.14320051381306287,1
no_of_nodes,n150 s15 - n0 s25,-0.8193916349809889,1.2612270739110765,46,-0.6496781205624202,0.9999985812170289
no_of_nodes,n150 s15 - n100 s25,0.7500000000000006,1.2521348937042447,46,0.5989769982220072,0.9999995311231245
no_of_nodes,n150 s15 - n150 s25,0.41730038022813765,1.2618177665079344,46,0.33071366666758184,0.999999999900766
no_of_nodes,n150 s15 - n200 s25,-0.30608365019011313,1.277468817666045,46,-0.239601660688151,1
no_of_nodes,n150 s15 - n0 s35,1.417300380228136,1.2618177665079342,46,1.1232211321215568,0.9987013578880652
no_of_nodes,n150 s15 - n100 s35,0.9999999999999994,1.2521348937042447,46,0.7986359976293419,0.9999783884880162
no_of_nodes,n150 s15 - n150 s35,0.3612167300380224,1.2881186093562833,46,0.28042194826960437,0.9999999999912526
no_of_nodes,n150 s15 - n200 s35,1.6112167300380227,1.2881186093562835,46,1.2508294797815258,0.9959094496580675
no_of_nodes,n200 s15 - n0 s25,-1.0000000000000009,1.252134893704245,46,-0.7986359976293429,0.9999783884880162
no_of_nodes,n200 s15 - n100 s25,0.5693916349809887,1.261227073911077,46,0.45145846196854933,0.9999999910947392
no_of_nodes,n200 s15 - n150 s25,0.23669201520912558,1.2606361045351355,46,0.18775601805915806,1
no_of_nodes,n200 s15 - n200 s25,-0.48669201520912514,1.2606361045351355,46,-0.386068599382686,0.9999999990590744
no_of_nodes,n200 s15 - n0 s35,1.2366920152091239,1.2606361045351355,46,0.98100634335327,0.9997248500215608
no_of_nodes,n200 s15 - n100 s35,0.8193916349809877,1.2612270739110771,46,0.6496781205624189,0.9999985812170289
no_of_nodes,n200 s15 - n150 s35,0.1806083650190104,1.261227073911077,46,0.14320051381306156,1
no_of_nodes,n200 s15 - n200 s35,1.430608365019011,1.2612270739110765,46,1.1342988067824151,0.9985532333358165
no_of_nodes,n0 s25 - n100 s25,1.5693916349809895,1.261227073911077,46,1.2443370963440321,0.9961227038988321
no_of_nodes,n0 s25 - n150 s25,1.2366920152091265,1.2606361045351357,46,0.9810063433532719,0.9997248500215608
no_of_nodes,n0 s25 - n200 s25,0.5133079847908757,1.2606361045351355,46,0.40718172591142787,0.9999999979715435
no_of_nodes,n0 s25 - n0 s35,2.2366920152091248,1.2606361045351353,46,1.7742566686473842,0.91302979849726
no_of_nodes,n0 s25 - n100 s35,1.8193916349809882,1.261227073911077,46,1.4425567549379017,0.9837068970750618
no_of_nodes,n0 s25 - n150 s35,1.1806083650190113,1.2612270739110765,46,0.9360791481885449,0.9998431262575721
no_of_nodes,n0 s25 - n200 s35,2.430608365019012,1.261227073911077,46,1.9271774411578977,0.8498877505667091
no_of_nodes,n100 s25 - n150 s25,-0.33269961977186296,1.2618177665079346,46,-0.26366693242290057,0.9999999999965471
no_of_nodes,n100 s25 - n200 s25,-1.0560836501901136,1.277468817666045,46,-0.826700139827753,0.999966423863505
no_of_nodes,n100 s25 - n0 s35,0.6673003802281353,1.2618177665079346,46,0.5288405330310739,0.9999999166427602
no_of_nodes,n100 s25 - n100 s35,0.2499999999999989,1.252134893704245,46,0.19965899940733467,1
